Unnamed: 0,id,state,guests,beds,property_type,n_reviews,rating,price,neighborhood,city
304,QM3188,California,2,1,House,115.0,96.0,144,Bayview,San Francisco
305,HW7185,California,4,1,Yurt,60.0,94.0,100,Topanga,Los Angeles
306,WL7882,Massachusetts,2,1,Apartment,8.0,96.0,100,Beacon Hill,Boston
307,EI7807,California,2,1,Apartment,3.0,100.0,110,Atwater Village,Los Angeles
308,CG3641,California,3,1,Apartment,6.0,93.0,136,Lower Haight,San Francisco
309,KS9652,Massachusetts,2,1,Apartment,7.0,90.0,139,Dorchester,Boston
310,EV6409,Massachusetts,4,2,Apartment,23.0,87.0,119,Downtown Crossing,Boston
311,YG1645,California,2,1,House,99.0,94.0,102,Bernal Heights,San Francisco
312,JR8380,Massachusetts,2,1,Apartment,54.0,95.0,139,Fenway/Kenmore,Boston
313,HD3172,Massachusetts,6,3,Condominium,113.0,84.0,98,South Boston,Boston
314,WP4629,California,2,1,Apartment,5.0,100.0,59,Mission District,San Francisco
315,EB8977,Massachusetts,2,1,Other,9.0,94.0,79,Dorchester,Boston
316,ZZ3541,California,2,1,House,10.0,97.0,110,Hollywood Hills,Los Angeles
317,SS7185,Illinois,5,4,House,13.0,100.0,199,Logan Square,Chicago
318,BO4312,Illinois,6,3,House,13.0,95.0,115,Avondale,Chicago
319,TM9496,California,2,1,House,1.0,100.0,85,Manhattan Beach,Los Angeles
320,DL1617,Massachusetts,2,1,Apartment,8.0,98.0,199,South End,Boston
321,YB4133,California,2,1,Apartment,73.0,93.0,119,Mid-Wilshire,Los Angeles
322,TK4547,California,2,1,Apartment,1.0,99.0,128,South Robertson,Los Angeles
323,CA9876,Illinois,2,1,Townhouse,16.0,98.0,50,Lincoln Park,Chicago
324,RN9040,Massachusetts,6,3,Apartment,19.0,92.0,128,Allston-Brighton,Boston
325,XH5916,Illinois,4,3,Apartment,15.0,94.0,110,Old Town,Chicago
326,AI9144,Illinois,3,1,Condominium,18.0,91.0,79,Wicker Park,Chicago
327,PB8364,Illinois,4,2,Apartment,27.0,93.0,128,Avondale,Chicago
328,VZ4708,Illinois,5,2,Apartment,15.0,97.0,98,Uptown,Chicago
329,JX9493,Illinois,5,3,Apartment,62.0,96.0,117,Wrigleyville,Chicago
330,IE3686,California,4,1,House,91.0,94.0,115,West Hollywood,Los Angeles
331,OM9750,Massachusetts,2,1,Condominium,24.0,97.0,125,Jamaica Plain,Boston
332,SF2670,Massachusetts,2,2,Apartment,17.0,99.0,129,Charlestown,Boston
333,HI1188,Massachusetts,1,1,Apartment,1.0,98.0,44,East Boston,Boston
334,FU7444,California,5,3,Apartment,27.0,98.0,142,West Hollywood,Los Angeles
335,IK7247,California,3,1,Apartment,7.0,100.0,74,North Hollywood,Los Angeles
